Nombre del programa ac adémico al que pertenece el estudiante de la UD,Facultad,Categoría de la Movilidad,País de destino,"Nombre de la IES, Institución o Empresa de destino",Presupuesto asignado,Acto administrativo del apoyo a la movilidad (Resolución - Contrato u otro)
Matemáticas,Ciencias y Educación,Semestre académico,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,Chile,Universidad Católica de la Santísima Concepción (Chile),N/A, N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,Chile,Universidad de Bio - Bio (Chile),N/A, N/A 
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Santo Tomás,N/A, N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,México,Universidad Pedagógica Nacional (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad de Guadalajara,N/A, N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,Argentina,Universidad de Quilmes (Argentina),N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Nacional Autónoma de México,N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Química,Ciencias y Educación,Semestre académico,Argentina,Universidad Nacional de Santiago del Estero (Argentina), N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,España,Universidad de Sevilla, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,España,Universidad de Sevilla,$5.500.000,Resolución de Rectoría No. 118 de 2017
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Lic. Lengua Castellana,Ciencias y Educación,Semestre académico,México,Universidad de Quintana Roo (México), N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Nacional Pedro Ruiz Gallo, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,México,Universidad de Ciencias y Artes de Chiapas UCACH, N/A , N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,Argentina,Universidad de Buenos Aires Facultad de Filosofía, N/A , N/A 
Lic. Inglés,Ciencias y Educación,Semestre académico,Canadá ,Université de Quebec,$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Artística,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Inglés,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Sociales,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Javeriana Facultad de Ciencias, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Colombia,Universidad Javeriana Facultad de Ciencias, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Jorge Basadre Grohmann, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,Perú,Universidad Jorge Basadre Grohmann, N/A , N/A 
Lic. Biología,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México), N/A , N/A 
Lic. Pedagogía Infantil,Ciencias y Educación,Semestre académico,México,Universidad Pedagógica Nacional (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Ciencias Sociales,Ciencias y Educación,Semestre académico,México,Universidad Autónoma Metropolitana (México), N/A , N/A 
Lic. Artística,Ciencias y Educación,Semestre académico,México,Universidad Autónoma de Querétaro, N/A , N/A 
Ingeniería Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,Chile,Universidad Austral de Chile, N/A , N/A 
Ingeniería Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Autónoma Metropolitana (México),$4.000.000,Resolución de Rectoría No. 118 de 2017
Administración Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad de Quilmes (Argentina), N/A , N/A 
Ingeniería Forestal,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad de La Plata,$5.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Forestal,Medio Ambiente y Recursos Naturales,Semestre académico,Brasil,Universidad de Sao Paulo, N/A , N/A 
Administración Deportiva,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Tec. Saneamiento Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad Nacional de Santiago del Estero (Argentina), N/A , N/A 
Tec. Saneamiento Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Argentina,Universidad Nacional del Litoral,$3.000.000,Resolución de Rectoría No. 118 de 2017
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,España,Universidad Politécnica de Madrid Escuela de Topografía, N/A , N/A 
Ing. Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,España,Universidad de Cantabria,$5.500.000,Resolución de Rectoría No. 118 de 2017
Ing. Sanitaria,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad de Quintana Roo (México), N/A , N/A 
Ing. Topográfica,Medio Ambiente y Recursos Naturales,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Admon Deportiva,Medio Ambiente y Recursos Naturales,Semestre académico,Perú,Universidad Peruana de Ciencias Aplicadas,$3.200.000,Resolución de Rectoría No. 118 de 2017
Admon Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Admon Ambiental,Medio Ambiente y Recursos Naturales,Semestre académico,Colombia,Universidad Nacional de Colombia, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,Universidad Nacional Autónoma de México, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de las Artes,$5.000.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,Chile,Universidad Mayor de Chile, N/A , N/A 
Artes Musicales,Artes ASAB,Semestre académico,Brasil,Universidad Estadual de Campinas,$6.300.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara, N/A , N/A 
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,México,ENPEG La Esmeralda,$4.000.000,Resolución de Rectoría No. 118 de 2017
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Italia,Universidad de Bolonia, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,España,Universidad del Pais Vasco,$5.500.000,Resolución de Rectoría No. 118 de 2017
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,España,Universidad del Pais Vasco,$5.500.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara,N/A, N/A 
Artes Musicales,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de Villa María,N/A, N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Chile,Universidad de Chile,N/A, N/A 
Artes Musicales,Artes ASAB,Semestre académico,Brasil,Universidad Federal del Estado de Rio de Janerio,N/A, N/A 
Artes Escénicas,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de las Artes,N/A, N/A 
Artes Plásticas y Visuales,Artes ASAB,Semestre académico,Chile,Universidad de Chile,N/A, N/A 
Ingeniería Electrónica,Ingeniería,Semestre académico,Argentina,Universidad de Quilmes,$5.000.000,Resolución de Rectoría No. 118 de 2017
ingenieria Catastral y Geodesia,Ingeniería,Semestre académico,Argentina,Universidad de Buenos Aires,N/A, N/A 
Ingeniería Industrial,Ingeniería,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
ingenieria Catastral y Geodesia,Ingeniería,Semestre académico,España,Universidad Politécnica de Madrid,$5.500.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Electrónica,Ingeniería,Semestre académico,España,Universidad de Granada,N/A, N/A 
Ingeniería de Sistemas,Ingeniería,Semestre académico,Argentina,Universidad de Buenos Aires,N/A, N/A 
Ingeniería Electrónica,Ingeniería,Semestre académico,Argentina,Universidad de Quilmes,$5.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Industrial,Ingeniería,Semestre académico,México,Instituto Politécnico Nacional,N/A, N/A 
Ingeniería Industrial,Ingeniería,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Industrial,Ingeniería,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Industrial ,Ingeniería,Semestre académico,México,Instituto Politécnico Nacional,N/A, N/A 
Ingeniería Eléctrica,Ingeniería,Semestre académico,Taiwán,Universidad Nacional de Kaohsiung,$9.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería de Sistemas,Ingeniería,Semestre académico,Colombia,Universidad Nacional de Colombia,N/A, N/A 
Ingeniería de Producción,Tecnológica,Semestre académico,México,Instituto Politécnico Nacional,N/A, N/A 
Tecnología en Industrial,Tecnológica,Semestre académico,España,Universidad de Cantabria,$5.500.000,Resolución de Rectoría No. 118 de 2017
Tecnología en industrial ,Tecnológica,Semestre académico,Chile,Universidad de Bio Bio,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería de Producción,Tecnológica,Semestre académico,México,Instituto Politécnico Nacional,$4.000.000,Resolución de Rectoría No. 118 de 2017
Tecnología Mecánica,Tecnológica,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Civil,Tecnológica,Semestre académico,Chile,Universidad Austral de Chile,N/A, N/A 
Tecnología Electrónica,Tecnológica,Semestre académico,México,Instituto Tecnológico de Celaya,$1.200.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Catastral y Geodesia,Ingeniería,Semestre académico,Colombia,Universidad Nacional de Colombia,N/A, N/A 
Artes Escénicas ,Artes ASAB,Semestre académico externo,México,Universidad de Guadalajara,N/A, N/A 
arte danzario ,Artes ASAB,Semestre académico externo,España,Universidad Rey Juan Carlos,N/A, N/A 
Artes Musicales,Artes ASAB,Año académico,Argentina,Universidad Nacional de las Artes ,$8.500.000,Resolución de Rectoría No. 394 de 2017
Licenciatura en Biología ,Ciencias y Educación,Semestre académico externo,México,Universidad Autónoma del Estado de México,N/A,
administracion deportiva,Medio Ambiente,Semestre académico de intercambio,España,Universidad del País Vasco,$6.000.000,Resolución de Rectoría No. 394 de 2017
Licenciatura en pedagogía infantil,Ciencias y Educación,Semestre académico externo,España,Universidad Rey Juan Carlos,$6.000.000,Resolución de Rectoría No. 394 de 2017
Administración Ambiental ,Medio Ambiente,Semestre académico externo,México,Universidad Quintana Roo,$4.000.000,Resolución de Rectoría No. 394 de 2017
Licenciatura en Educación Básica en Inglés,Ciencias y Educación,Semestre académico externo,México,Universidad de Guadalajara,N/A, N/A 
Licenciatura en Pedagogía Infantil,Ciencias y Educación,Semestre académico de intercambio,Argentina,Universidad de Buenos Aires,N/A, N/A 
Administración Ambiental,Medio Ambiente,Semestre académico externo,México,Universidad Quintana Roo,$4.000.000,Resolución de Rectoría No. 394 de 2017
Ingenieria Sanitaria,Medio Ambiente,Semestre académico de intercambio,Brasil,Universidad Federal Minas Gerais,$2.100.000,Resolución de Rectoría No. 394 de 2017
Ingenieria Topográfica,Medio Ambiente,Semestre académico de intercambio,México,Instituto Politécnico Nacional de México,N/A, N/A 
Artes escénicas,Artes ASAB,Semestre académico externo,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
Artes escénicas ,Artes ASAB,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
Ingeniería Ambiental,Medio Ambiente,Semestre académico de intercambio,México,Instituto Tecnológico de Sonora,N/A, N/A 
Ingenieria Topográfica,Medio Ambiente,Semestre académico externo,México,Instituto Politécnico Nacional de México,N/A, N/A 
Ingeniería Ambiental,Medio Ambiente,Semestre académico externo,México,Instituto Tecnológico de Sonora,N/A, N/A 
licenciatura en Fìsica,Ciencias y Educación,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
INGENIERÍA FORESTAL,Medio Ambiente,Semestre académico externo,España,Universidad del País Vasco,$6.000.000,Resolución de Rectoría No. 394 de 2017
Administración Deportiva,Medio Ambiente,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
ingenieria sanitaria,Medio Ambiente,Semestre académico de intercambio,México,Universidad Autónoma Metropolitana,N/A, N/A 
Administración Deportiva,Medio Ambiente,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,N/A, N/A 
ingenieria sanitaria,Medio Ambiente,Semestre académico de intercambio,México,Universidad Autónoma Metropolitana,N/A, N/A 
Ingeniería Industrial,Ingeniería,Semestre académico externo,México,Instituto Politécnico Nacional de México,N/A, N/A 
Artes Escénicas,Artes ASAB,Semestre académico externo,México,Universidad Nacional Autónoma de México,N/A, N/A 
Tecnología en Saneamiento Ambiental,Medio Ambiente,Semestre académico externo,México,Universidad Estatal de Sonora,N/A, N/A 
Artes Escénicas ,Artes ASAB,Semestre académico externo,México,Universidad de Guadalajara,N/A, N/A 
Ingeniería Sanitaria,Medio Ambiente,Semestre académico externo,México,Universidad Autónoma Metropolitana,N/A, N/A 
Tecnología mecánica ,Tecnológica,Semestre académico externo,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
Tecnología mecánica ,Tecnológica,Semestre académico externo,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
administración deportiva,Medio Ambiente,Semestre académico de intercambio,México,Universidad de Guadalajara,N/A, N/A 
licenciatura en biología ,Ciencias y Educación,Semestre académico de intercambio,México,Universidad Autónoma del Estado de México,N/A, N/A 
artes plasticas ,Artes ASAB,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,N/A, N/A 
Licenciatura en Pedagogía Infantil,Ciencias y Educación,Semestre académico de intercambio,Argentina,Universidad de Buenos Aires,N/A, N/A 
Tecnología Mecánica,Tecnológica,Semestre académico externo,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
Ingenieria de Sistemas,Ingeniería,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,N/A, N/A 
Ingeniería de Sistemas,Ingeniería,Semestre académico de intercambio,México,Universidad Nacional Autónoma de México,N/A, N/A 
Licenciatura en Biología ,Ciencias y Educación,Semestre académico de intercambio,México,Universidad Autónoma del Estado de México,N/A, N/A 
Artes Plásticas y Visuales,Artes ASAB,Semestre académico externo,España,Universidad de Granada,N/A, N/A 
Ingeniería Sanitaria,Medio Ambiente,Semestre académico externo,México,Universidad Autónoma Metropolitana,N/A, N/A 
Ingeniería Sanitaria,Medio Ambiente,Semestre académico externo,México,Universidad Autónoma Metropolitana,N/A, N/A 
Licenciatura en biologia,Ciencias y Educación,Semestre académico de intercambio,México,Universidad Autónoma del Estado de México,N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico en el Exterior,México,Universidad de Guadalajara,N/A, N/A 
Lic. Química,Ciencias y Educación,Semestre académico en el Exterior,México,Universidad de Guadalajara,N/A, N/A 
Ing. Forestal,Medio Ambiente,Semestre académico en el Exterior,Chile,Universidad de la Frontera,N/A, N/A 
Ing. Civil,Tecnológica,Semestre académico en el Exterior,Chile,Universidad de Chile,N/A, N/A 
Ing. Sanitaria,Medio Ambiente,Semestre académico en el Exterior,México,Universidad Autónoma de Guerrero,N/A, N/A 
Ing. Sanitaria,Medio Ambiente,Semestre académico en el Exterior,México,Universidad Autónoma de Guerrero,N/A, N/A 
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,México,Instituto Politécnico Nacional de México,$4.000.000,Resolución de Rectoría No. 394 de 2017
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,México,Instituto Politécnico Nacional de México,N/A, N/A 
Licenciatura en Educación Básica con Énfasis en Educación Artística,Ciencias y Educación,Semestre académico en el Exterior,México,Universidad Estatal de Sonora,$1.500.000,Resolución de Rectoría No. 394 de 2017
Ingeniería de Producción,Tecnológica,Semestre académico en el Exterior,México,Instituto Politécnico Nacional de México,N/A, N/A 
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,Chile,Universidad de Chile,N/A, N/A 
Lic. Biología,Ciencias y Educación,Semestre académico en el Exterior,México,Universidad de Ciencias y Artes de Chiapas UCACH,N/A, N/A 
Ing. Eléctrica,Ingeniería,Año académico,Taiwan,Universidad Nacional de Kaoshing,$9.000.000,Resolución de Rectoría No. 118 de 2017
Lic. Inglés,Ciencias y Educación,Semestre académico en el Exterior,Rumania,Alba Iulia University,N/A, N/A 
Maestría en Manejo Uso y Conservación de Bosques,Medio Ambiente,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Licenciatura en quimica,Ciencias y Educación,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Ingenieria Catastral y Geodesia,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Ingeniería Industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Santo Tomás,N/A,N/A
Ingeniería industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Santo Tomás,N/A,N/A
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Santo Tomás,N/A,N/A
Ing. Industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Santo Tomás,N/A,N/A
Maestría en ingeniería Industrial,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Esp. Teleinformática,Ingeniería,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
Lic. Educación Artística,Ciencias y Educación,Semestre académico en el Exterior,Colombia,Universidad Nacional de Colombia,N/A,N/A
